Minimum bin value 45763 events at 0 GeV
Cutting there gives total events: 4622063
Bin	 Energy	 Number Events
0	0	45834
1	0	46238
2	0	45763
3	0	46126
4	0	46100
5	0	46510
6	0	46712
7	0	46467
8	0	47022
9	0	47026
10	0	47313
11	0	47431
12	0	47834
13	0	47988
14	0	48431
15	0	49053
16	0	48816
17	0	49907
18	0	50319
19	0	50069
20	0	50234
21	0	50877
22	0	51409
23	0	51677
24	0	52550
25	0	52572
26	0	52623
27	0	52925
28	0	53485
29	0	53671
30	0	54361
31	0	54780
32	1	54764
33	1	55600
34	1	56105
35	1	56313
36	1	57428
37	1	57574
38	1	58328
39	1	59024
40	1	60113
41	1	60864
42	1	62171
43	1	64031
44	1	65722
45	1	67886
46	1	69857
47	1	71751
48	1	74058
49	1	75035
50	1	77596
51	1	78282
52	1	79838
53	1	80585
54	1	81541
55	1	82779
56	1	83488
57	1	83108
58	1	83436
59	1	83777
60	1	84691
61	1	84219
62	1	85027
63	1	84985
64	2	85678
65	2	85464
66	2	85582
67	2	85649
68	2	86035
69	2	85413
70	2	85584
71	2	85596
72	2	85779
73	2	86271
74	2	85541
75	2	85815
76	2	86006
77	2	86290
78	2	86890
79	2	87327
80	2	87578
81	2	86867
82	2	87690
83	2	87516
84	2	88196
85	2	88503
86	2	88915
87	2	89398
88	2	88703
89	2	90229
90	2	90237
91	2	90270
92	2	89741
93	2	89880
94	2	89434
95	2	90117
96	3	89955
97	3	89813
98	3	88757
99	3	88666
100	3	4425
