Minimum bin value 76793 events at 0 GeV
Cutting there gives total events: 7756093
Bin	 Energy	 Number Events
0	0	76793
1	0	77259
2	0	77447
3	0	77630
4	0	77914
5	0	78129
6	0	78525
7	0	78998
8	0	78708
9	0	79524
10	0	79461
11	0	80407
12	0	80487
13	0	81649
14	0	82289
15	0	83221
16	0	83161
17	0	84885
18	0	85012
19	0	85996
20	0	86154
21	0	87241
22	0	88031
23	0	88845
24	0	90299
25	0	90582
26	0	91324
27	0	91539
28	0	92837
29	0	93366
30	0	95021
31	0	95778
32	1	95773
33	1	97539
34	1	98442
35	1	99449
36	1	101372
37	1	101866
38	1	103349
39	1	105165
40	1	107340
41	1	109291
42	1	111600
43	1	114658
44	1	117256
45	1	120968
46	1	124530
47	1	128152
48	1	131584
49	1	133921
50	1	136985
51	1	139266
52	1	142702
53	1	143928
54	1	145661
55	1	147561
56	1	149382
57	1	149298
58	1	151490
59	1	152404
60	1	154391
61	1	155425
62	1	156922
63	1	158928
64	2	160402
65	2	161612
66	2	162856
67	2	163829
68	2	165762
69	2	165941
70	2	167490
71	2	168781
72	2	170004
73	2	171827
74	2	171739
75	2	172893
76	2	173781
77	2	175588
78	2	176290
79	2	177122
80	2	178480
81	2	178048
82	2	180436
83	2	181206
84	2	182387
85	2	182573
86	2	183498
87	2	185284
88	2	184145
89	2	185395
90	2	184794
91	2	185510
92	2	186162
93	2	185592
94	2	185934
95	2	186286
96	3	186360
97	3	185210
98	3	185092
99	3	184724
100	3	9369
