Minimum bin value 1248 events at 3 GeV
Cutting there gives total events: 126048
Bin	 Energy	 Number Events
0	0	9687
1	0	9879
2	0	9621
3	0	9816
4	0	9902
5	0	9745
6	0	9819
7	0	9902
8	0	10083
9	0	9934
10	0	10046
11	0	10219
12	0	10372
13	0	10179
14	0	10395
15	0	10413
16	0	10567
17	0	10810
18	0	10846
19	0	10940
20	0	11053
21	0	11181
22	0	11413
23	0	11445
24	0	11819
25	0	11754
26	0	11831
27	0	11907
28	0	12203
29	0	12158
30	0	12364
31	0	12648
32	1	12667
33	1	12809
34	1	12904
35	1	13219
36	1	13549
37	1	13617
38	1	13923
39	1	14250
40	1	14450
41	1	14831
42	1	14996
43	1	15179
44	1	15644
45	1	16068
46	1	16605
47	1	16887
48	1	17449
49	1	17774
50	1	18065
51	1	18147
52	1	18524
53	1	18995
54	1	19000
55	1	19657
56	1	19821
57	1	19813
58	1	20098
59	1	20155
60	1	20711
61	1	20662
62	1	21116
63	1	21189
64	2	21512
65	2	21843
66	2	21765
67	2	22237
68	2	22342
69	2	22138
70	2	22397
71	2	22800
72	2	23157
73	2	23012
74	2	23283
75	2	23272
76	2	23670
77	2	23766
78	2	23944
79	2	23826
80	2	24143
81	2	24447
82	2	24096
83	2	24308
84	2	24330
85	2	24725
86	2	24988
87	2	25195
88	2	24832
89	2	25281
90	2	25254
91	2	25220
92	2	25223
93	2	25295
94	2	25043
95	2	25324
96	3	25398
97	3	25363
98	3	25097
99	3	24895
100	3	1248
