Minimum bin value 22896 events at 3 GeV
Cutting there gives total events: 2312496
Bin	 Energy	 Number Events
0	0	34699
1	0	35212
2	0	34693
3	0	35022
4	0	35066
5	0	35387
6	0	35396
7	0	35342
8	0	35790
9	0	35737
10	0	36036
11	0	36176
12	0	36329
13	0	36448
14	0	36842
15	0	37197
16	0	37128
17	0	37834
18	0	38107
19	0	37964
20	0	38216
21	0	38640
22	0	39095
23	0	39609
24	0	40026
25	0	39935
26	0	40324
27	0	40496
28	0	40855
29	0	41029
30	0	41557
31	0	42047
32	1	41753
33	1	42395
34	1	42816
35	1	43017
36	1	43911
37	1	44109
38	1	44629
39	1	45341
40	1	46082
41	1	46761
42	1	47425
43	1	48915
44	1	50186
45	1	52067
46	1	53672
47	1	55136
48	1	57008
49	1	57592
50	1	58970
51	1	58016
52	1	56414
53	1	54508
54	1	52727
55	1	51360
56	1	49469
57	1	47285
58	1	45253
59	1	43590
60	1	42206
61	1	40165
62	1	38778
63	1	37491
64	2	36976
65	2	35366
66	2	34254
67	2	33812
68	2	32680
69	2	31818
70	2	31039
71	2	30413
72	2	29732
73	2	29222
74	2	28393
75	2	27694
76	2	27223
77	2	26738
78	2	26436
79	2	26159
80	2	25693
81	2	25158
82	2	25022
83	2	24319
84	2	24099
85	2	24083
86	2	23775
87	2	23870
88	2	23525
89	2	23759
90	2	23417
91	2	23368
92	2	23292
93	2	22915
94	2	22999
95	2	23313
96	3	23143
97	3	22974
98	3	22896
99	3	22782
100	3	1131
