Minimum bin value 69387 events at 0 GeV
Cutting there gives total events: 7008087
Bin	 Energy	 Number Events
0	0	69387
1	0	69665
2	0	69711
3	0	70000
4	0	70261
5	0	70617
6	0	70918
7	0	71140
8	0	71135
9	0	71698
10	0	71747
11	0	72367
12	0	72596
13	0	73556
14	0	74066
15	0	74696
16	0	74842
17	0	76113
18	0	76439
19	0	77071
20	0	77348
21	0	78225
22	0	78791
23	0	79597
24	0	80888
25	0	80993
26	0	81528
27	0	81745
28	0	82808
29	0	83043
30	0	84332
31	0	84986
32	1	84948
33	1	86515
34	1	87098
35	1	87838
36	1	89429
37	1	89788
38	1	90874
39	1	92438
40	1	94058
41	1	95540
42	1	97509
43	1	100081
44	1	102314
45	1	105439
46	1	108264
47	1	111387
48	1	114159
49	1	116188
50	1	118456
51	1	120271
52	1	122690
53	1	123552
54	1	124678
55	1	125810
56	1	126691
57	1	126160
58	1	127292
59	1	127493
60	1	128539
61	1	128157
62	1	128935
63	1	129227
64	2	129908
65	2	129864
66	2	129923
67	2	129776
68	2	129901
69	2	129525
70	2	129520
71	2	129733
72	2	129636
73	2	130427
74	2	129438
75	2	129755
76	2	129931
77	2	130830
78	2	131112
79	2	131077
80	2	131786
81	2	131009
82	2	132548
83	2	132519
84	2	133271
85	2	132947
86	2	133455
87	2	134603
88	2	134166
89	2	134921
90	2	134714
91	2	135063
92	2	135242
93	2	135219
94	2	135320
95	2	135468
96	3	135465
97	3	134873
98	3	134132
99	3	133854
100	3	6768
