Minimum bin value 22896 events at 3 GeV
Cutting there gives total events: 2312496
Bin	 Energy	 Number Events
0	0	34699
1	0	35212
2	0	34693
3	0	35019
4	0	35037
5	0	35308
6	0	35155
7	0	34798
8	0	34901
9	0	34326
10	0	34014
11	0	33390
12	0	32768
13	0	32004
14	0	31327
15	0	30617
16	0	29648
17	0	29196
18	0	28782
19	0	27825
20	0	27490
21	0	27151
22	0	26953
23	0	26892
24	0	26778
25	0	26325
26	0	26291
27	0	25829
28	0	25930
29	0	25843
30	0	25887
31	0	26125
32	1	25600
33	1	25801
34	1	25867
35	1	25807
36	1	26218
37	1	26037
38	1	26165
39	1	26384
40	1	26421
41	1	26405
42	1	26430
43	1	26780
44	1	26934
45	1	27190
46	1	27455
47	1	27606
48	1	28119
49	1	27864
50	1	28441
51	1	28471
52	1	28555
53	1	28175
54	1	28245
55	1	28485
56	1	28342
57	1	28199
58	1	27684
59	1	28011
60	1	28048
61	1	27641
62	1	27488
63	1	27336
64	2	27637
65	2	27424
66	2	27167
67	2	27392
68	2	27365
69	2	27324
70	2	27178
71	2	27139
72	2	27001
73	2	26976
74	2	26641
75	2	26307
76	2	26148
77	2	25940
78	2	25812
79	2	25713
80	2	25389
81	2	24963
82	2	24885
83	2	24218
84	2	24054
85	2	24054
86	2	23757
87	2	23867
88	2	23519
89	2	23757
90	2	23417
91	2	23368
92	2	23292
93	2	22915
94	2	22999
95	2	23313
96	3	23143
97	3	22974
98	3	22896
99	3	22782
100	3	1131
